tier_id,university_id
6,840
3,221
3,154
6,607
4,749
3,335
6,287
6,560
6,717
6,820
3,706
3,149
6,721
5,478
2,39
3,184
3,113
3,61
3,168
3,259
3,132
3,159
5,425
4,273
4,294
2,36
2,20
4,246
6,790
6,82
1,11
2,77
5,441
6,549
5,436
6,779
2,90
6,861
6,731
6,625
6,773
5,439
3,268
3,290
4,358
6,585
6,799
6,675
3,234
6,815
6,728
6,606
6,691
5,451
5,438
6,594
3,200
4,338
2,161
6,544
6,780
4,385
3,209
6,566
6,598
6,736
2,55
3,279
6,674
2,45
6,722
6,859
3,179
6,653
6,872
5,493
4,325
6,545
5,486
6,565
3,201
3,112
3,106
3,151
6,844
6,711
6,835
6,761
3,278
6,587
3,205
3,182
1,67
1,16
5,445
6,570
5,433
6,541
5,524
3,136
6,699
6,673
6,692
6,615
4,391
4,309
3,293
3,269
6,522
3,264
4,317
3,219
4,369
5,446
5,480
3,258
3,292
3,239
6,609
3,271
3,143
6,539
2,79
5,496
5,508
6,693
4,332
2,91
5,427
5,423
2,119
2,48
6,670
3,146
6,676
6,665
3,100
2,33
6,814
6,794
6,697
2,65
6,595
6,640
2,85
6,662
6,579
6,563
6,532
6,547
3,253
6,719
6,602
3,242
4,331
6,642
2,96
6,627
6,485
2,62
4,340
2,80
6,771
3,152
4,303
5,497
6,604
6,800
2,14
2,107
5,489
6,751
3,223
4,322
4,396
3,207
4,381
4,387
3,226
5,432
3,267
5,415
5,444
3,173
5,468
6,527
3,280
6,828
4,386
4,367
5,472
6,552
6,823
6,655
6,542
3,300
6,829
6,855
6,767
3,193
2,72
3,285
6,776
4,328
6,513
2,83
4,319
5,454
6,571
4,360
6,559
6,533
3,185
6,520
6,572
3,169
6,763
6,555
5,416
6,708
4,373
5,516
3,206
2,18
3,133
6,852
4,361
6,534
4,422
3,196
2,92
3,277
6,705
3,145
6,668
4,412
5,452
6,804
6,824
3,188
3,202
6,622
3,316
4,377
3,177
6,854
5,453
6,646
3,270
4,355
6,589
6,805
6,742
6,716
6,787
6,775
6,786
6,796
6,636
5,511
6,768
6,578
4,339
5,475
6,783
6,613
3,116
1,75
2,50
2,41
2,240
2,274
2,612
2,713
2,807
2,616
2,741
2,597
2,769
2,576
2,845
2,15
2,139
2,118
2,172
2,98
2,137
1,103
1,634
1,109
1,1
1,7
1,56
1,5
1,54
1,101
1,171
1,2
1,9
1,3
1,97
1,155
1,29
1,87
1,27
2,183
1,94
2,44
3,254
6,556
3,140
5,482
3,235
4,252
6,822
6,686
6,701
3,148
6,880
6,781
6,540
6,816
5,490
3,232
5,528
3,318
3,204
1,127
2,434
1,22
2,678
4,363
6,818
6,529
4,390
6,747
6,789
1,71
6,548
6,723
5,465
6,687
6,551
6,592
4,341
5,437
3,251
5,471
3,210
3,156
2,63
6,727
4,405
3,150
5,477
2,88
4,357
2,64
2,195
2,120
2,13
5,473
3,231
6,784
5,469
4,371
5,476
6,685
6,862
6,743
3,128
5,467
6,561
6,738
6,827
4,353
2,37
6,860
6,623
6,644
3,227
3,304
2,650
6,753
6,651
6,591
3,218
6,263
6,811
6,614
5,466
6,864
6,590
6,795
6,754
6,755
2,42
6,525
6,599
6,643
3,117
6,577
5,514
4,409
4,428
6,817
6,868
6,679
2,66
3,222
6,652
4,418
5,484
5,499
6,631
4,324
6,806
6,766
3,241
6,47
6,733
3,262
5,455
6,832
6,523
3,194
6,582
6,847
2,8
2,70
4,393
3,307
6,732
3,138
3,288
6,802
6,759
6,841
6,600
3,186
3,295
5,443
6,518
5,474
5,501
6,858
6,830
6,812
3,197
6,825
2,95
6,620
3,255
6,762
6,756
6,757
6,707
4,375
6,688
4,327
5,450
6,696
3,187
2,49
6,737
5,410
5,494
6,700
4,372
3,289
2,78
6,839
6,526
6,881
6,882
6,635
6,639
3,174
2,30
6,681
3,320
6,870
3,199
6,698
6,637
6,649
2,99
2,158
3,229
6,836
6,581
3,272
6,715
5,481
6,619
4,347
3,283
3,314
6,760
3,125
6,633
4,337
6,810
1,31
6,557
4,397
3,310
4,326
6,683
3,123
2,58
4,323
2,59
2,84
4,356
3,147
6,645
6,772
6,740
6,628
6,648
4,413
6,659
2,220
2,346
2,57
2,306
2,93
2,275
2,164
2,144
1,52
2,175
2,374
2,238
2,398
2,464
2,142
2,382
2,114
2,17
2,440
2,111
2,370
1,24
2,401
1,53
5,506
3,135
3,230
5,509
3,247
5,461
2,74
5,491
6,608
6,569
4,403
6,567
6,746
3,260
6,530
4,394
3,130
3,298
3,266
6,521
6,714
3,102
3,296
3,131
6,586
3,244
6,720
5,502
6,672
4,344
2,51
6,833
6,838
6,849
6,543
3,311
4,431
3,233
4,389
3,228
2,28
4,365
3,245
6,745
3,163
3,224
6,603
6,558
3,211
3,176
6,798
2,46
6,596
5,503
3,104
5,507
6,837
6,729
4,354
6,611
3,216
5,447
3,248
3,170
3,162
3,157
6,748
4,383
6,710
6,792
5,487
6,725
6,536
6,801
3,141
3,256
4,406
4,395
6,863
4,362
5,462
2,38
4,342
3,165
3,198
6,618
6,704
6,803
6,638
5,483
4,404
5,449
3,237
6,770
6,853
3,166
3,265
5,460
4,392
3,305
6,718
5,424
6,660
4,366
6,621
6,684
6,857
4,419
4,330
4,315
6,764
6,677
6,883
6,834
6,739
3,243
6,851
6,842
6,671
6,819
3,212
4,352
6,546
3,180
4,336
3,129
6,580
4,349
5,505
6,884
6,793
2,76
5,504
2,351
3,108
4,312
2,10
5,442
4,350
5,488
6,808
2,160
6,871
6,550
4,329
4,359
3,153
2,86
5,414
5,448
5,500
6,658
4,378
6,726
6,846
6,869
6,654
6,584
5,463
3,215
6,647
6,703
6,694
6,724
6,626
6,519
6,624
3,214
4,308
4,379
5,420
6,601
3,225
6,791
3,192
6,531
6,588
4,384
5,456
6,712
6,664
6,856
6,797
4,313
5,421
3,281
6,765
5,417
6,632
6,682
6,573
5,402
3,190
6,709
6,574
6,593
6,813
2,12
6,553
6,758
6,865
6,630
6,788
6,826
6,785
6,782
6,564
5,457
5,470
6,538
3,181
5,458
6,744
4,400
6,689
6,843
3,167
6,666
2,32
5,430
3,249
6,515
6,866
6,656
6,575
4,334
3,276
5,435
6,735
2,25
2,21
6,821
6,702
4,380
5,479
3,257
2,40
1,81
3,297
5,495
4,399
3,286
3,121
6,554
6,778
3,217
6,850
3,191
5,510
6,695
4,368
4,376
6,657
3,236
6,517
6,663
5,429
6,730
3,302
5,411
6,661
3,115
2,89
2,68
2,35
2,4
6,535
3,261
6,610
2,73
3,203
3,134
3,124
2,60
3,282
3,105
2,69
2,19
2,43
3,208
6,680
2,26
2,34
6,667
3,250
6,752
6,641
6,848
4,321
6,690
6,617
6,774
6,867
5,492
3,284
6,629
6,669
6,568
5,426
3,213
6,562
3,110
3,178
4,345
4,407
3,189
4,343
6,537
4,333
4,348
6,777
3,299
4,301
6,750
3,126
2,122
2,23
6,734
1,6
6,605
4,388
6,583
5,459
5,512
6,809
6,831
3,291
6,873
5,498
4,364
4,408
